Publication Year,Author,Title,ISBN,Url,Abstract,Author Image,Book Cover,Date,Date Added,Num Pages,Short Title,Series,Publisher,Place,Place 2,Language,Library Catalog,Call Number,Extra,Notes,Automatic Tags,Editor,Series Editor,Translator,Contributor,StoryPoint,StoryPoint2,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,,,
2014,"Al johani, Leila",Days of ignorance,978-99921-95-19-2,https://www.goodreads.com/book/show/22313646-days-of-ignorance,"Is he dead? Medina, Saudi Arabia. A young man, Malek, has been brutally attacked for being of the ‘wrong’ race. Malek’s lover, Leen, waits by his bedside and reflects on their relationship and her life as an unmarried, childless woman. All around her are voices of judgment and concern; in the twenty-first century it is still unforgivable, and dangerous, for a Saudi woman to enter into a relationship with a black man. In the distance US planes hover over Iraq, primed to embark on yet another senseless conflict. Malek’s attacker was Leen’s brother. Flinging wide a window onto the second holiest Islamic city--a city in which people observe daily prayers and preach equality and justice--Days of Ignorance is a novel about honor, hypocrisy, war and fear. And, glimmering beyond, beneath and behind it all, love.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403424552l/22313646.jpg,2014,2/14/2022 2:40,165,,,Bloomsbury Qatar Foundation,Qatar - Doha,,eng,Library of Congress ISBN,MLCS 2017/10428 (P),,,,,,,,,,,,,,,,,,
2014,"Ashour, Radwa",Blue lorries,978-99921-94-48-5,https://www.goodreads.com/book/show/18049202-blue-lorries?from_search=true&from_srp=true&qid=s9MwuRCN63&rank=1#,"Nada is no stranger to protest. She is five years old when her French mother takes her to visit her Egyptian father, a political activist with a passing resemblance to President Nasser, in prison. When he returns home five years later, a changed man, their little family begins to fracture and eventually Nada’s mother moves back to Paris. Through her teenage years Nada is surrounded by the language of protest – ‘anarchism’, ‘Trotskyism’, ‘communism’ – and, one summer in Paris, she discovers the ’68 movement and her first love. And how to slam doors in anger. The more things change, the more they stay the same. Through student sit-ins, imprisonments, passionate arguments, accidental alliances, fallen friends, joys and regrets, Nada’s story grows into the story of Egypt’s many celebrated activists such as Arwa and Siham. Moving, uplifting and deeply human, Radwa Ashour’s masterpiece is the story of Egypt in the second half of the twentieth century and a paean to all those who choose a life of activism and quiet defiance. (less)",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1402484672l/18049202.jpg,2014,2/14/2022 2:54,239,,,Bloomsbury Qatar Foundation Publishing,Qatar - Doha,,eng,Library of Congress ISBN,MLCS 2017/10430 (P),,,,,,,,,,,,,,,,,,
2014,"Ashour, Radwa",The woman from Tantoura,978-977-416-615-0,https://www.goodreads.com/book/show/17678418-the-woman-from-tantoura?ac=1&from_search=true&qid=6Q2Gm5s799&rank=1,The story of a young girl from her days in the village of Tantoura in Palestine up to the dawn of the new century --,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367226412l/17678418.jpg,2014,2/14/2022 2:57,368,,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7814.S514 T3613 2014,OCLC: ocn861320530,,"Fiction; arabischer Palästina; Geschichte 2001 ff; Palestine; Roman; Text; Women, Palestinian Arab",,,"Heikkinen, Kay",,,,,,,,,,,,
2014,"El Badry, Hala",Rain over Baghdad,978-977-416-588-7,https://www.goodreads.com/book/show/17678411-rain-over-baghdad?from_search=true&from_srp=true&qid=xAduQtBVrf&rank=1,"What was it like to live in Iraq before the earth-shaking events of the end of the twentieth century? The mid seventies to the late eighties witnessed Saddam Hussein's rise to power, the establishment of Kurdish autonomy in the north, and the Iraq-Iran war. It also brought an influx of oil wealth, following the 1973 war and the spike in oil prices, and a parallel influx of Arab talent, including many Egyptians, as the Egyptian left became disenchanted with Sadat. The massive migration also extended to workers and peasants, some of whom created an entire Egyptian village just outside Baghdad. We witness all of this and more through the eyes of an Egyptian woman married to an engineer working in Iraq. The narrator, who works for an Egyptian magazine's bureau in the Iraqi capital, has a behind-the-scenes view of what was really happening at a critical juncture in the history of the region. Moreover, she has a mystery to solve: an Iraqi woman from the marshes in the south of Iraq, who is also a communist journalist, has disappeared, and as the mystery unfolds we learn of her love for an older Egyptian Marxist journalist. This is Iraq before and beyond Saddam, Iraq as the Arabs knew it, in the lives of interesting people living in a vibrant country before the attempted annexation of Kuwait and the American invasion. This is the Iraq that was",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367224698l/17678411.jpg,2014,2/14/2022 3:32,480,,Modern Arabic literature,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7816.A35 M3813 2014,,,Fiction; 1979-1991; 20th century; Egyptians; Iraq; Politics and government; Social conditions; Women journalists,,,"Abdel Wahab, Farouk",,,,,,,,,,,,
2014,"Humaydan, Iman",Other lives,978-1-56656-962-0,https://www.goodreads.com/book/show/20600078-other-lives,"A new novel from award-winning Lebanese writer Iman Humaydan. “Did I live many lives or only one life enough for many women?” asks Miriyam in Other Lives. This third novel by Lebanese writer, Iman Humaydan, starkly and poignantly demonstrates how war, violence and dislocation have an impact not only on the lives of people who live through them but what life itself means, particularly for women. In Other Lives, Miriyam’s travels take her from her Shouf mountain village to Beirut, Melbourne and Paradise, Australia to Nairobi, Mombasa and Cape Town. Unwilling to be tied down by geography, language or men, Miriyam forges a path through the world that is at once hers uniquely and also deeply informed by her life’s experiences. Again and again, she is drawn back to the Lebanon of her birth and childhood, only to find it no longer there. She is forced to confront the ghosts of the civil war—her dead brother, her disappeared lover, and the life that she left behind when she immigrated to Australia. Humaydan deftly explores one woman’s negotiation of love and war, intimacy and loss, migration and home in a way that speaks beyond individual but to a collective experience.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525178228l/20600078._SY475_.jpg,2014,2/23/2022 4:58,153,,,Interlink Books,US - Northhampton,,eng,Library of Congress ISBN,PJ7874.U475 H3913 2014,,,,,,"Hartman, Michelle",,,,,,,,,,,,
2014,"Khalifeh, Sahar",The Gate of the Courtyard.,978-1-4961-1768-7,https://www.goodreads.com/book/show/22782801-memoirs-of-an-unrealistic-woman,"The novel is an ironic and sad recollection of the real life of an Arab rebellious, intelligent and highly talented woman. In the Memoirs we delve into the complexities of Arab traditions and the educational system that nourish the psychological formation of Arab women. The novel raises questions about love, sex, family relations family restrictions and social norms. It is the first feminist novel in Arabic literature; daring, rebellious and highly critical. The style is intimate, sensitive and easy, deep, artistic, a pleasure to read",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525178228l/20600078._SY475_.jpg,2014,2/25/2022 14:52,,,,Createspace Independent Publishing Platform,,,Arabic,Open WorldCat,,OCLC: 1201215216,,,,,,,,,,,,,,,,,
2014,"Mikhail, Dunya",The Iraqi nights,978-0-8112-2286-0,https://www.goodreads.com/book/show/18470090-the-iraqi-nights,"The Iraqi Nights is the third collection by the acclaimed Iraqi poet Dunya Mikhail. Taking The One Thousand and One Nights as her central theme, Mikhail personifies the role of Scheherazade the storyteller, saving herself through her tales. The nights are endless, seemingly as dark as war in this haunting collection, seemingly as endless as war. Yet the poet cannot stop dreaming of a future beyond the violence of a place where “every moment / something ordinary / will happen under the sun.” Unlike Scheherazade, however, Mikhail is writing, not to escape death, but to summon the strength to endure. Inhabiting the emotive spaces between Iraq and the U.S., Mikhail infuses those harsh realms with a deep poetic intimacy. The author’s vivid illustrations — inspired by Sumerian tablets — are threaded throughout this powerful book.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1379900607l/18470090.jpg,2014,2/23/2022 4:54,83,The Iraqi nights =,,New Directions,US - New York,,eng,Library of Congress ISBN,PJ7846.I392 l3913 2014,,,,,,"Abu-Zeid, Kareem James",,,,,,,,,,,,
2014,"Prince, Mona",Revolution is my name: an Egyptian woman's diary from eighteen days in Tahrir,978-977-416-669-3,https://www.goodreads.com/book/show/20721660-revolution-is-my-name,"Mona Prince's humorous and insightful memoir tells of one woman's journey as a hesitant revolutionary through the eighteen days of the Egyptian uprising that toppled Hosni Mubarak in 2011. Alongside the brutal violence of the security forces, the daily battles of resistance, and the author's own abduction and beating at the hands of the police, this is a story of exceptional solidarity, perseverance, and humanity. Juggling humor and horror, hope and fear, certitude and anxiety, Prince immerses us in the details of each unpredictable and fateful day. She mixes the political and the personal, the public and the private to expose and confront divisions within her family, as well as her own social prejudices, which she discovers through encounters with diverse sectors of society, from police conscripts to street children. Revolution Is My Name is a testimony not only of women's participation in the Egyptian uprising and their courage in confronting constrictive gender divides at home and on the street, but equally of their important contribution as chroniclers of the momentous events of January and February 2011",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397439019l/20721660.jpg,2014,2/25/2022 14:21,191,Revolution is my name,,American University in Cairo Press,Egypt - Cairo,,eng,K10plus ISBN,,,,,,,"Mehrez, Samia",,,,,,,,,,,,
2014,"Sharafeddine, Fatima",The amazing travels of Ibn Battuta,978-1-55498-481-7,https://www.goodreads.com/book/show/19302085-the-amazing-travels-of-ibn-battuta,"Ibn Battuta recalls his amazing journey and the fascinating people, cultures, and places he encountered. He traveled extensively, throughout Islamic lands and beyond -- from the Middle East to Africa to Europe to Asia nearly 700 years ago.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387770752l/19302085.jpg,2014,2/25/2022 14:12,,,,Groundwood Books/House of Anansi Press,,,English,Open WorldCat,,OCLC: 1241977222,,,,,"Mohammed Ali, Intelaq",,,,,,,,,,,,
2014,,Syria speaks: art and culture from the frontline,978-0-86356-787-2,https://www.goodreads.com/book/show/22238697-syria-speaks?ac=1&from_search=true&qid=ECOFpBUipH&rank=1,"""In Syria, culture has become a critical line of defence against tyranny. Syria Speaks is a celebration of a people determined to reclaim their dignity, freedom and self-expression. It showcases the work of over fifty artists and writers who are challenging the culture of violence in Syria. Their literature, poems and songs, cartoons, political posters and photographs document and interpret the momentous changes that have shifted the frame of reality so drastically in Syria. Moving and inspiring, Syria Speaks is testament to the courage, creativity and imagination of the Syrian people.""--Publisher's description",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408469778l/22238697.jpg,2014,2/14/2022 3:34,,Syria speaks,,Saqi Books,UK - London,,eng,BnF ISBN,709.569 0905,,,,"Halasa, Malu; Omareen, Zaher; Mahfoud, Nawara",,,,,,,,,,,,,,
